IDLink,Platform,Popularity,Title,Source_Tier,Final_Score,Initial_Velocity,Stickiness_Index,Title_Sentiment,Sentiment_Divergence,Title_Complexity,Opportunity_Score
86395,Facebook,43.0,Michelle Obama kicks off final Easter egg roll with a little whip and ...,Tier 2 (Industry Specialists),45.0,5.0,0.8888888888888888,-0.09375,0.09375,18.285714285714285,0.0088495575221238
6227,Facebook,0.0,Australia economy expands with shift away from resource boom,Tier 1 (Mainstream),0.0,0.0,0.0,0.0,0.206060606060606,14.77777777777778,0.0086206896551724
81612,Facebook,95.0,Trump Gave Obama a B+ Grade in 2009,Tier 2 (Industry Specialists),95.0,0.0,1.0,0.0,0.0,11.5,0.0119047619047619
57644,Facebook,92.0,"Rajan's Exit a Bad Omen for Indian Economy, Reputation Abroad: Experts",Tier 3 (Niche/Blog),94.0,0.0,1.0,-0.6999999999999998,0.2333333333333332,16.454545454545453,0.0434782608695652
50128,Facebook,,"US predicted that sanctions would tear Russian economy apart, but ...",Tier 2 (Industry Specialists),154.0,0.0,1.0,0.0,0.03125,16.363636363636363,0.0135135135135135
31192,Facebook,5.0,SmashRun Now supports Microsoft Band,Tier 2 (Industry Specialists),5.0,0.0,1.0,0.0,0.2999999999999999,11.4,0.0096153846153846
99987,Facebook,31.0,Obama's Supreme Court Lawyer Helped Take Down DOMA And ...,Tier 3 (Niche/Blog),31.0,0.0,1.0,-0.1555555555555555,0.3555555555555555,14.9,0.02
29726,Facebook,39.0,Economy Shoe Shop staff burned after stove 'flared up',Tier 2 (Industry Specialists),40.0,0.0,1.0,0.0,0.0,14.11111111111111,0.0129870129870129
19139,Facebook,1.0,Apple And Microsoft Earnings: Mac Vs. PC All Over Again?,Tier 3 (Niche/Blog),1.0,0.0,1.0,0.0,0.1,14.7,0.0128205128205128
26471,Facebook,,Microsoft Surface Pro 5 to be launched in October 2016: Report,Tier 2 (Industry Specialists),20.0,0.0,1.0,0.0,0.0,15.727272727272728,0.0104166666666666
44071,Facebook,9.0,Editorial: Microsoft shouldn't follow Sony's lead by releasing an ...,Tier 2 (Industry Specialists),11.0,0.0,1.0,0.0,0.3571428571428571,16.0,0.0161290322580645
49785,Facebook,1.0,"Thailand Q1 GDP surprisingly resilient, but export slump a risk",Tier 2 (Industry Specialists),1.0,0.0,1.0,0.7,0.575,15.4,0.0188679245283018
63564,Facebook,2.0,Obama Awards Medal of Freedom to 17 Americans,Tier 3 (Niche/Blog),8.0,0.0,1.0,0.0,0.625,12.75,0.0072992700729927
18958,Facebook,4.0,Microsoft's Sway app will now save your hard work from deletion,Tier 2 (Industry Specialists),5.0,0.0,1.0,-0.2916666666666667,0.4492424242424242,15.818181818181818,0.032258064516129
82128,Facebook,0.0,Obama says more action needed to avert another financial crisis,Tier 2 (Industry Specialists),0.0,0.0,0.0,0.1999999999999999,0.05,15.4,0.0098039215686274
102315,Facebook,0.0,Palestine ISD's Jason Marshall Named Region 7 ESC's 2016 ...,Tier 3 (Niche/Blog),0.0,0.0,0.0,0.0,0.1,15.1,0.0119047619047619
20414,Facebook,0.0,Microsoft's big Windows 10 push is part of broader strategy,Tier 3 (Niche/Blog),0.0,0.0,0.0,0.0,0.1783333333333333,15.0,0.0065359477124183
85037,Facebook,,Obama arrives in Cuba for what he calls a &quot;historic visit&quot;,Tier 1 (Mainstream),26.0,0.0,1.0,0.0,0.2708333333333333,16.272727272727273,0.0181818181818181
11816,Facebook,3.0,why is there real estate gloom in the middle of an economic boom?,Tier 3 (Niche/Blog),3.0,0.0,1.0,0.0666666666666666,0.0666666666666666,17.076923076923077,0.0333333333333333
45361,Facebook,,"Exclusive - Brazil's Temer to overhaul economy, central bank to rescue confidence",Tier 1 (Mainstream),0.0,0.0,0.0,0.0,0.09375,17.833333333333332,0.0161290322580645
22120,Facebook,46.0,My Economy: The divided life of business at the border,Tier 3 (Niche/Blog),49.0,0.0,1.0,0.0,0.05,14.5,0.0133333333333333
85794,Facebook,160.0,Obama's tango ripped on 'Morning Joe',Tier 2 (Industry Specialists),345.0,0.0,1.0,0.0,0.125,11.333333333333332,0.0129870129870129
71387,Facebook,58.0,Asia trade deal puts honey exporter in sweet spot for Obama speech,Tier 2 (Industry Specialists),61.0,0.0,1.0,0.35,0.35,16.583333333333332,0.0217391304347826
2579,Facebook,0.0,"&quot;Deteriorating industrial economy&quot; seen holding down GE, analyst ...",Tier 2 (Industry Specialists),0.0,0.0,0.0,-0.1555555555555555,0.2055555555555555,16.77777777777778,0.0232558139534883
57148,Facebook,,Microsoft is jumping into the marijuana-software business (MSFT),Tier 1 (Mainstream),,0.0,0.0,0.0,0.1928571428571428,15.125,0.0121951219512195
54970,Facebook,,Microsoft opens Cyber Security Engagement Center in Gurgaon,Tier 2 (Industry Specialists),6.0,0.0,1.0,-0.1,0.1181818181818181,14.5,0.0106382978723404
23079,Facebook,1.0,Global stocks mostly fall amid economy jitters,Tier 2 (Industry Specialists),1.0,0.0,1.0,0.25,0.075,12.714285714285715,0.0094339622641509
89235,Facebook,227.0,Disney's Bob Iger Among Obama Fundraiser Crowd Tonight At Alan ...,Tier 3 (Niche/Blog),234.0,0.0,1.0,0.0,0.0,16.09090909090909,0.0172413793103448
24349,Facebook,3.0,Microsoft Corporation's (MSFT) Xbox One Users Are More Valuable ...,Tier 3 (Niche/Blog),3.0,0.0,1.0,0.5,0.0,15.8,0.0263157894736842
57096,Facebook,,Microsoft had the most talked about conference of E3 2016,Tier 1 (Mainstream),,0.0,0.0,0.5,0.4666666666666667,14.8,0.0138888888888888
91144,Facebook,93.0,Obama has 'sense' of what is in 9/11 documents which are ...,Tier 2 (Industry Specialists),93.0,0.0,1.0,0.0,0.4,16.083333333333332,0.0185185185185185
77305,Facebook,512.0,Jay Carney: Obama supports Hillary Clinton,Tier 1 (Mainstream),565.0,0.0,1.0,0.0,0.0,12.166666666666668,0.0126582278481012
89586,Facebook,130.0,Liberal Israeli Paper Urges Barack Obama To Back Palestinian UN ...,Tier 3 (Niche/Blog),205.0,0.0,1.0,0.0,0.0,16.18181818181818,0.0227272727272727
49075,Facebook,0.0,UN estimates Indian economy to grow 7.3 percent this year,Tier 2 (Industry Specialists),0.0,0.0,0.0,0.0,0.0727272727272727,14.8,0.0166666666666666
61889,Facebook,263.0,Obama Inserts Himself Into 2016 Race,Tier 2 (Industry Specialists),285.0,0.0,1.0,0.0,0.0,11.166666666666668,0.0108695652173913
44011,Facebook,88.0,US undermining German economy to strengthen its own position ...,Tier 2 (Industry Specialists),195.0,0.0,1.0,0.3,0.1,15.5,0.0106382978723404
17529,Facebook,4.0,Xbox latest: Microsoft provide update on 360 server future,Tier 2 (Industry Specialists),7.0,0.0,1.0,0.25,0.2,14.555555555555555,0.0138888888888888
91259,Facebook,4.0,"Obama, EU Leaders to Meet Over IS Group, Migration and Libya",Tier 1 (Mainstream),4.0,1.0,0.75,0.0,0.0166666666666666,15.545454545454549,0.0105263157894736
